,time,signal,channel
0,20.05,295.3042877197266,405
1,20.1,295.748353247549,405
2,20.15,296.4547639734605,405
3,20.2,296.47259461645984,405
4,20.25,296.6096185422411,405
5,20.3,297.1514647240732,405
6,20.35,297.80216591030944,405
7,20.4,298.7169696044922,405
8,20.45,299.9731953938802,405
9,20.5,301.0815423703661,405
10,20.55,302.1717804553462,405
11,20.6,303.21001898073683,405
12,20.65,303.74959728764554,405
13,20.7,304.2110679476869,405
14,20.75,305.18015563964843,405
15,20.8,306.27751129748776,405
16,20.85,307.18003276750153,405
17,20.9,307.6613332711014,405
18,20.95,307.58218144435506,405
19,21.0,306.9594864190793,405
20,21.05,306.15026137408086,405
21,21.1,305.2690938313802,405
22,21.15,304.05256286621096,405
23,21.2,302.6486170151654,405
24,21.25,301.32021616019455,405
25,21.3,300.09349688361675,405
26,21.35,298.5070836684283,405
27,21.4,296.551274916705,405
28,21.45,295.21561327167586,405
29,21.5,294.5997625732422,405
30,21.55,294.2251365512025,405
31,21.6,294.09864298502606,405
32,21.65,294.74126060336243,405
33,21.7,295.54813220454196,405
34,21.75,295.30183560240505,405
35,21.8,294.1319095387178,405
36,21.85,292.58558471679686,405
37,21.9,290.98867259306064,405
38,21.95,290.2409093520221,405
39,22.0,290.55619423062194,405
40,22.05,291.18879011565565,405
41,22.1,291.1646507113588,405
42,22.15,290.74378039790133,405
43,22.2,291.31311274509807,405
44,22.25,292.7088397216797,405
45,22.3,293.6062125411688,405
46,22.35,294.3938383214614,405
47,22.4,295.49641747568165,405
48,22.45,295.6355453192019,405
49,22.5,295.2616271972656,405
50,22.55,297.00269990808823,405
51,22.6,299.30147827148437,405
52,22.65,299.12577012005977,405
53,22.7,297.8003875134038,405
54,22.75,297.1185709635417,405
55,22.8,296.11770211014095,405
56,22.85,293.7412217084099,405
57,22.9,293.4901446174173,405
58,22.95,295.04700561523435,405
59,23.0,295.4105104932598,405
60,23.05,295.4967208563113,405
61,23.1,296.2827016793045,405
62,23.15,296.81377096737134,405
63,23.2,296.2371191884957,405
64,23.25,295.521375469133,405
65,23.3,295.67192626953124,405
66,23.35,296.1354417987898,405
67,23.4,296.3915381338082,405
68,23.45,297.5132081274893,405
69,23.5,299.892037784352,405
70,23.55,302.90509571748623,405
71,23.6,305.59972127278644,405
72,23.65,307.02306949391084,405
73,23.7,305.54340393066406,405
74,23.75,303.2116914636949,405
75,23.8,302.99275297277114,405
76,23.85,303.0530892166437,405
77,23.9,303.2271189970129,405
78,23.95,304.2413024902344,405
79,24.0,303.7443033854167,405
80,24.05,302.6971594238281,405
81,24.1,304.48763738893996,405
82,24.15,308.0863366220512,405
83,24.2,308.79915783452054,405
84,24.25,306.13747750076595,405
85,24.3,303.5108881931679,405
86,24.35,302.57893461339614,405
87,24.4,301.87238037109375,405
88,24.45,300.06199735753677,405
89,24.5,298.8728565889246,405
90,24.55,300.29764392329196,405
91,24.6,302.18478932100186,405
92,24.65,301.4576876771216,405
93,24.7,298.5236738616345,405
94,24.75,297.5014002182904,405
95,24.8,301.5783673095703,405
96,24.85,304.2495284734988,405
97,24.9,301.9816625258502,405
98,24.95,300.6563247979856,405
99,25.0,300.25900807100186,405
100,25.05,296.9987050972733,405
101,25.1,294.7538470099954,405
102,25.15,295.16597351074216,405
103,25.2,294.17713120404414,405
104,25.25,293.1709810144761,405
105,25.3,294.3537896848192,405
106,25.35,295.6541963465074,405
107,25.4,296.20437442555146,405
108,25.45,298.2130456064262,405
109,25.5,303.8458538818359,405
110,25.55,312.1951120413986,405
111,25.6,317.27432011623006,405
112,25.65,314.4001542633655,405
113,25.7,313.1099117503447,405
114,25.75,314.1885040881587,405
115,25.8,311.0208333333333,405
116,25.85,307.4614495849609,405
117,25.9,307.3207535089231,405
118,25.95,309.0023468615962,405
119,26.0,309.23054653990505,405
120,26.05,308.05664182176776,405
121,26.1,305.8534133013557,405
122,26.15,303.0034915699678,405
123,26.2,301.6161008348652,405
124,26.25,301.7391723632812,405
125,26.3,301.6706381405101,405
126,26.35,301.48373831954655,405
127,26.4,301.53010888193165,405
128,26.45,301.7982644473805,405
129,26.5,302.4225691253064,405
130,26.55,303.2022788851869,405
131,26.6,303.6193096923828,405
132,26.65,303.55627680759807,405
133,26.7,303.14010799632354,405
134,26.75,302.88842234892,405
135,26.8,303.1710851332721,405
136,26.85,303.5306091308594,405
137,26.9,303.88203579771755,405
138,26.95,304.8963916015625,405
139,27.0,305.82710355870864,405
140,27.05,305.98934098786,405
141,27.1,305.860704608992,405
142,27.15,305.49465164483763,405
143,27.2,304.9548668954887,405
144,27.25,304.45190609202666,405
145,27.3,304.4030859375,405
146,27.35,304.3900655110677,405
147,27.4,303.5552679323683,405
148,27.45,302.4498243144914,405
149,27.5,301.9229568780637,405
150,27.55,301.173874798943,405
151,27.6,299.2885089949066,405
152,27.65,297.6701522527957,405
153,27.7,296.7921569824219,405
154,27.75,295.76944627948836,405
155,27.8,294.8367596794577,405
156,27.85,294.53973089479933,405
157,27.9,294.52440688189336,405
