event,time
licks,103.0
licks,118.0
licks,473.0
licks,481.0
licks,483.0
licks,487.0
licks,488.0
licks,489.0
licks,489.0
licks,490.0
licks,491.0
licks,491.0
licks,492.0
licks,493.0
licks,494.0
licks,495.0
licks,496.0
licks,497.0
licks,507.0
licks,516.0
licks,526.0
licks,529.0
licks,531.0
licks,532.0
licks,534.0
licks,535.0
licks,536.0
licks,538.0
licks,538.0
licks,539.0
licks,539.0
licks,540.0
licks,541.0
licks,542.0
licks,542.0
licks,544.0
licks,545.0
licks,549.0
licks,550.0
licks,553.0
licks,578.0
licks,605.0
licks,634.0
licks,689.0
licks,754.0
licks,759.0
licks,763.0
licks,766.0
licks,768.0
licks,768.0
licks,769.0
licks,769.0
licks,770.0
licks,771.0
licks,771.0
licks,772.0
licks,776.0
licks,783.0
licks,785.0
licks,812.0
licks,813.0
licks,868.0
plus,471.0
plus,521.0
plus,751.0
minus,35.0
minus,308.0
minus,580.0
minus,644.0
