event,time
licks,103
licks,118
licks,473
licks,481
licks,483
licks,487
licks,488
licks,489
licks,489
licks,490
licks,491
licks,491
licks,492
licks,493
licks,494
licks,495
licks,496
licks,497
licks,507
licks,516
licks,526
licks,529
licks,531
licks,532
licks,534
licks,535
licks,536
licks,538
licks,538
licks,539
licks,539
licks,540
licks,541
licks,542
licks,542
licks,544
licks,545
licks,549
licks,550
licks,553
licks,578
licks,605
licks,634
licks,689
licks,754
licks,759
licks,763
licks,766
licks,768
licks,768
licks,769
licks,769
licks,770
licks,771
licks,771
licks,772
licks,776
licks,783
licks,785
licks,812
licks,813
licks,868
plus,471
plus,521
plus,751
minus,35
minus,308
minus,580
minus,644
