myAUC,avg_diff,power,cluster,gene
0.897,1.62287619468,0.794,0,Gad2
0.861,1.15101039059,0.722,0,A030009H04Rik
0.857,1.02546600129,0.714,0,Nap1l5
0.845,1.05609490882,0.69,0,Zwint
0.839,0.980689139627,0.678,0,Zcchc18
0.838,0.910082521481,0.676,0,Ttc3
0.835,0.976621427317,0.67,0,Snhg11
0.835,0.959488427311,0.67,0,Meg3
0.832,0.983589998505,0.664,0,Celf4
0.831,1.23328557382,0.662,0,Gad1
0.83,0.986634687985,0.66,0,Snap25
0.83,0.937058582054,0.66,0,Atp1b1
0.828,1.14167365242,0.656,0,Syt1
0.828,0.962676578209,0.656,0,Impact
0.825,1.18321997054,0.65,0,Slc32a1
0.825,0.97367978359,0.65,0,Nsf
0.825,0.964730966699,0.65,0,Vsnl1
0.823,0.969593050619,0.646,0,Atp6v1g2
0.821,0.937423711143,0.642,0,Ahi1
0.82,0.902410038999,0.64,0,Mdh1
0.817,0.946528806607,0.634,0,Syn2
0.816,0.899201890061,0.632,0,Gap43
0.816,0.894171495382,0.632,0,Peg3
0.815,0.910570767686,0.63,0,Ndrg4
0.813,0.935063805222,0.626,0,Got1
0.811,0.833033931551,0.622,0,Fkbp3
0.81,0.85062848306,0.62,0,Bex2
0.809,0.832525195669,0.618,0,Stmn2
0.808,0.84592444841,0.616,0,Stmn3
0.808,0.75626485234,0.616,0,Calm2
0.806,0.815144091078,0.612,0,Map7d2
0.806,0.793043597177,0.612,0,Tmem130
0.804,0.844010992686,0.608,0,Pnmal2
0.803,0.838224485576,0.606,0,Bex1
0.803,0.825348041011,0.606,0,Gng3
0.803,0.815010985431,0.606,0,2900011O08Rik
0.801,0.884957998959,0.602,0,Zcchc12
0.798,0.789678008836,0.596,0,Atpif1
0.797,0.886690342525,0.594,0,Nrsn1
0.796,0.789439073641,0.592,0,Ngfrap1
0.796,0.743750227557,0.592,0,6330403K07Rik
0.795,0.843859098381,0.59,0,Gprasp2
0.794,0.785168056205,0.588,0,Eno2
0.794,0.756121440498,0.588,0,Nsg2
0.793,0.784427233185,0.586,0,Tubb2a
0.792,0.863404560552,0.584,0,Nrxn3
0.792,0.729049766612,0.584,0,Gnas
0.791,0.750623489285,0.582,0,Mllt11
0.789,0.920094150852,0.578,0,Fxyd6
0.788,0.888403157164,0.576,0,Rab3c
0.788,0.772308983586,0.576,0,Gprasp1
0.787,0.866474280927,0.574,0,Sncb
0.787,0.764466469175,0.574,0,Tspyl4
0.787,0.73287043164,0.574,0,Atp5g3
0.786,0.786642943447,0.572,0,Nefl
0.786,0.762355554357,0.572,0,Rtn1
0.786,0.748666738924,0.572,0,Tagln3
0.785,0.750094022819,0.57,0,Uchl1
0.784,0.755510790464,0.568,0,Snap47
0.784,0.560703814243,0.568,0,Calm1
0.782,0.788189360945,0.564,0,Chga
0.782,0.710199405615,0.564,0,Thy1
0.781,0.76887947301,0.562,0,Napb
0.781,0.754332157654,0.562,0,Kif5c
0.781,0.743065804571,0.562,0,Snrpn
0.781,0.628928568809,0.562,0,Chgb
0.78,0.80482236269,0.56,0,Prkar1b
0.778,0.730770743179,0.556,0,Atp6v1b2
0.778,0.649415330819,0.556,0,Resp18
0.777,0.890157085679,0.554,0,Elavl4
0.777,0.702154773819,0.554,0,Pja2
0.777,0.685395102935,0.554,0,Map1b
0.776,0.745915893385,0.552,0,Flywch1
0.776,0.727510617522,0.552,0,Nrsn2
0.776,0.682903429546,0.552,0,Tmx4
0.775,0.780634229937,0.55,0,Rab3a
0.775,0.587512333234,0.55,0,Slc25a4
0.774,0.67924845447,0.548,0,Tmem59l
0.774,0.645736930685,0.548,0,Nsg1
0.773,0.776381285554,0.546,0,Cend1
0.773,0.668716753256,0.546,0,Ywhab
0.772,0.676859775796,0.544,0,Atp6v1d
0.771,0.711339224144,0.542,0,Camta1
0.77,0.671528858048,0.54,0,Prdx5
0.769,0.666207788464,0.538,0,G3bp2
0.768,0.767461226662,0.536,0,Rit2
0.768,0.663214065421,0.536,0,Cox7b
0.767,0.671004893017,0.534,0,Caly
0.767,0.664829536458,0.534,0,2210016L21Rik
0.767,0.652798992331,0.534,0,Gabarapl1
0.766,0.793101258948,0.532,0,Nap1l2
0.766,0.598421509376,0.532,0,Gpm6a
0.765,0.737722183683,0.53,0,Stxbp1
0.765,0.666276697801,0.53,0,Atp6v1a
0.764,0.713438788316,0.528,0,Basp1
0.764,0.648920469115,0.528,0,Nme1
0.764,0.626236436338,0.528,0,Maged1
0.764,0.60380932645,0.528,0,Myl12b
0.764,0.375539974841,0.528,0,Scg2
0.763,0.741505715916,0.526,0,Bend6
0.763,0.729729781909,0.526,0,A730017C20Rik
0.763,0.657652023356,0.526,0,Ywhag
0.762,0.878103712994,0.524,0,Chchd10
0.762,0.64487699798,0.524,0,Kifap3
0.761,0.622446781651,0.522,0,Ddx24
0.761,0.601665889063,0.522,0,Rrp1
0.76,0.671422847183,0.52,0,Pja1
0.759,0.755959440822,0.518,0,Ina
0.759,0.635221668922,0.518,0,Tpi1
0.759,0.626533886251,0.518,0,Mdh2
0.759,0.595275970769,0.518,0,Scg5
0.758,0.802554913974,0.516,0,Cygb
0.757,0.642492810842,0.514,0,Atp6v1c1
0.755,0.733158146142,0.51,0,Myt1l
0.755,0.640889276318,0.51,0,Hprt
0.755,0.614568140812,0.51,0,Aldoa
0.755,0.593303397363,0.51,0,Dynll2
0.754,0.621305180499,0.508,0,Pfn2
0.754,0.57696701281,0.508,0,Ndufa4
0.753,0.599435179485,0.506,0,Atxn10
0.753,0.572454385543,0.506,0,Ldhb
0.753,0.564564522733,0.506,0,Pgrmc1
0.752,0.670209911865,0.504,0,Tubb3
0.752,0.654254675542,0.504,0,Atp1a3
0.752,0.595983285884,0.504,0,Araf
0.751,0.599047081798,0.502,0,Nars
0.751,0.581573543494,0.502,0,Ndufv2
0.75,0.704724787272,0.5,0,Kcnc1
0.75,0.62436312698,0.5,0,Tuba1b
0.75,0.622493808339,0.5,0,Dtd1
0.75,0.562161979389,0.5,0,Tspan7
0.749,0.699363663037,0.498,0,Ckmt1
0.749,0.650044529232,0.498,0,Ywhah
0.749,0.642350244084,0.498,0,Gnl3l
0.749,0.621845577208,0.498,0,Wbp5
0.749,0.61554704508,0.498,0,Napg
0.749,0.577593406885,0.498,0,Gabra1
0.748,0.585868541786,0.496,0,Atp5j
0.748,0.578040773507,0.496,0,Atp6v1e1
0.747,0.66536608005,0.494,0,Nap1l3
0.747,0.623015962789,0.494,0,Syt4
0.747,0.564097437161,0.494,0,Atp5a1
0.746,0.560470933176,0.492,0,Mycbp2
0.746,0.55951708044,0.492,0,Tcf25
0.746,0.548390962628,0.492,0,Gaa
0.746,0.543350933563,0.492,0,Atp5o
0.745,0.606668696242,0.49,0,Vdac1
0.744,0.699077772196,0.488,0,Rgs17
0.744,0.526125238644,0.488,0,Ndufa5
0.743,0.827223787017,0.486,0,Ndn
0.743,0.706883062941,0.486,0,Cox5a
0.742,0.551205390843,0.484,0,Pkm
0.741,0.673962104213,0.482,0,Syngr3
0.741,0.553301422779,0.482,0,Ndufa12
0.741,0.549246477569,0.482,0,Cox6b1
0.741,0.546485954367,0.482,0,Zranb2
0.74,0.631920626214,0.48,0,St8sia3
0.74,0.50358792928,0.48,0,Ndufa8
0.74,0.497389636192,0.48,0,Cbx5
0.739,0.670047758353,0.478,0,Sult4a1
